ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
3,"Management Occupations",2015,"2015",45357,10887,"Washington, IN","31000US47780","washington-in-micro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2013,"2013",45000,14883,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2017,"2017",44722,8672,"Washington, IN","31000US47780","washington-in-micro-area"
1,"Management, Business, Science, & Arts Occupations",2015,"2015",44671,2187,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2014,"2014",44629,1823,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2013,"2013",43991,3871,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2014,"2014",43944,1311,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2013,"2013",43750,3283,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2013,"2013",43352,4232,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2017,"2017",43250,19176,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2015,"2015",42851,7799,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2016,"2016",42578,10668,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2017,"2017",42188,11010,"Washington, IN","31000US47780","washington-in-micro-area"
30,"Construction & Extraction Occupations",2017,"2017",42115,8040,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2014,"2014",42017,9434,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2014,"2014",41523,5279,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2016,"2016",41106,8933,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2013,"2013",40732,6328,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2015,"2015",40500,6142,"Washington, IN","31000US47780","washington-in-micro-area"
19,"Protective Service Occupations",2017,"2017",40458,20731,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2015,"2015",40219,4559,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2016,"2016",40179,10081,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2015,"2015",39821,8842,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2015,"2015",39563,6966,"Washington, IN","31000US47780","washington-in-micro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2017,"2017",39534,5634,"Washington, IN","31000US47780","washington-in-micro-area"
19,"Protective Service Occupations",2013,"2013",38967,3550,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2017,"2017",38667,5641,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2013,"2013",38424,3689,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2014,"2014",38333,5427,"Washington, IN","31000US47780","washington-in-micro-area"
30,"Construction & Extraction Occupations",2015,"2015",38198,3281,"Washington, IN","31000US47780","washington-in-micro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2013,"2013",37819,3184,"Washington, IN","31000US47780","washington-in-micro-area"
30,"Construction & Extraction Occupations",2014,"2014",37806,2884,"Washington, IN","31000US47780","washington-in-micro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2014,"2014",37510,2503,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2016,"2016",37435,9158,"Washington, IN","31000US47780","washington-in-micro-area"
30,"Construction & Extraction Occupations",2016,"2016",37389,5543,"Washington, IN","31000US47780","washington-in-micro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2015,"2015",37275,2647,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2017,"2017",37275,11914,"Washington, IN","31000US47780","washington-in-micro-area"
8,"Life, Physical, & Social Science Occupations",2013,"2013",37273,45442,"Washington, IN","31000US47780","washington-in-micro-area"
16,"Health Technologists & Technicians",2014,"2014",37273,12368,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2013,"2013",37188,5244,"Washington, IN","31000US47780","washington-in-micro-area"
30,"Construction & Extraction Occupations",2013,"2013",37188,3475,"Washington, IN","31000US47780","washington-in-micro-area"
8,"Life, Physical, & Social Science Occupations",2014,"2014",36979,44672,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2016,"2016",36942,4900,"Washington, IN","31000US47780","washington-in-micro-area"
19,"Protective Service Occupations",2015,"2015",36875,7161,"Washington, IN","31000US47780","washington-in-micro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2016,"2016",36853,2291,"Washington, IN","31000US47780","washington-in-micro-area"
16,"Health Technologists & Technicians",2015,"2015",35893,7346,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2014,"2014",35833,7899,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2017,"2017",35114,7343,"Washington, IN","31000US47780","washington-in-micro-area"
19,"Protective Service Occupations",2014,"2014",34091,5939,"Washington, IN","31000US47780","washington-in-micro-area"
35,"Material Moving Occupations",2014,"2014",33000,5331,"Washington, IN","31000US47780","washington-in-micro-area"
19,"Protective Service Occupations",2016,"2016",32672,5543,"Washington, IN","31000US47780","washington-in-micro-area"
35,"Material Moving Occupations",2013,"2013",31987,4039,"Washington, IN","31000US47780","washington-in-micro-area"
16,"Health Technologists & Technicians",2013,"2013",31346,18931,"Washington, IN","31000US47780","washington-in-micro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2015,"2015",31250,8015,"Washington, IN","31000US47780","washington-in-micro-area"
10,"Community & Social Service Occupations",2016,"2016",31250,12951,"Washington, IN","31000US47780","washington-in-micro-area"
10,"Community & Social Service Occupations",2014,"2014",31157,3650,"Washington, IN","31000US47780","washington-in-micro-area"
32,"Production, Transportation, & Material Moving Occupations",2015,"2015",30896,1492,"Washington, IN","31000US47780","washington-in-micro-area"
0,"Total",2013,"2013",30586,957,"Washington, IN","31000US47780","washington-in-micro-area"
0,"Total",2015,"2015",30551,874,"Washington, IN","31000US47780","washington-in-micro-area"
10,"Community & Social Service Occupations",2013,"2013",30536,3184,"Washington, IN","31000US47780","washington-in-micro-area"
32,"Production, Transportation, & Material Moving Occupations",2017,"2017",30527,1596,"Washington, IN","31000US47780","washington-in-micro-area"
0,"Total",2014,"2014",30496,1109,"Washington, IN","31000US47780","washington-in-micro-area"
32,"Production, Transportation, & Material Moving Occupations",2014,"2014",30286,1702,"Washington, IN","31000US47780","washington-in-micro-area"
32,"Production, Transportation, & Material Moving Occupations",2016,"2016",30212,2053,"Washington, IN","31000US47780","washington-in-micro-area"
0,"Total",2016,"2016",30137,1300,"Washington, IN","31000US47780","washington-in-micro-area"
0,"Total",2017,"2017",30130,1946,"Washington, IN","31000US47780","washington-in-micro-area"
16,"Health Technologists & Technicians",2016,"2016",30069,6618,"Washington, IN","31000US47780","washington-in-micro-area"
32,"Production, Transportation, & Material Moving Occupations",2013,"2013",29921,2184,"Washington, IN","31000US47780","washington-in-micro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2014,"2014",28750,29666,"Washington, IN","31000US47780","washington-in-micro-area"
35,"Material Moving Occupations",2015,"2015",28516,8458,"Washington, IN","31000US47780","washington-in-micro-area"
35,"Material Moving Occupations",2017,"2017",28438,7711,"Washington, IN","31000US47780","washington-in-micro-area"
29,"Farming, Fishing, & Forestry Occupations",2015,"2015",28317,3082,"Washington, IN","31000US47780","washington-in-micro-area"
16,"Health Technologists & Technicians",2017,"2017",28125,3875,"Washington, IN","31000US47780","washington-in-micro-area"
33,"Production Occupations",2017,"2017",27744,3402,"Washington, IN","31000US47780","washington-in-micro-area"
10,"Community & Social Service Occupations",2015,"2015",27500,4123,"Washington, IN","31000US47780","washington-in-micro-area"
33,"Production Occupations",2016,"2016",27383,2942,"Washington, IN","31000US47780","washington-in-micro-area"
35,"Material Moving Occupations",2016,"2016",27381,5843,"Washington, IN","31000US47780","washington-in-micro-area"
33,"Production Occupations",2015,"2015",27044,2304,"Washington, IN","31000US47780","washington-in-micro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2015,"2015",26875,26365,"Washington, IN","31000US47780","washington-in-micro-area"
27,"Office & Administrative Support Occupations",2014,"2014",26696,2256,"Washington, IN","31000US47780","washington-in-micro-area"
33,"Production Occupations",2014,"2014",26565,1219,"Washington, IN","31000US47780","washington-in-micro-area"
29,"Farming, Fishing, & Forestry Occupations",2017,"2017",26488,506,"Washington, IN","31000US47780","washington-in-micro-area"
10,"Community & Social Service Occupations",2017,"2017",26250,11299,"Washington, IN","31000US47780","washington-in-micro-area"
27,"Office & Administrative Support Occupations",2015,"2015",26111,3615,"Washington, IN","31000US47780","washington-in-micro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2014,"2014",26063,20305,"Washington, IN","31000US47780","washington-in-micro-area"
29,"Farming, Fishing, & Forestry Occupations",2016,"2016",26045,2536,"Washington, IN","31000US47780","washington-in-micro-area"
33,"Production Occupations",2013,"2013",25800,2702,"Washington, IN","31000US47780","washington-in-micro-area"
27,"Office & Administrative Support Occupations",2016,"2016",25764,3941,"Washington, IN","31000US47780","washington-in-micro-area"
